メッシ?,population,A29_004,A29_005,Shigaika,Chosei,distance,emRoad,L01_100,L02_094,LandPrice
52371315929,48.41,3,第一種中高層住居専用地域,2,,1819.786871,,70000,,70000
52370376932,68.21,5,第一種住居地域,2,,1262.775508,,71000,,71000
52371324986,65.29,1,第一種低層住居専用地域,2,,1144.676519,,73000,,73000
52370218975,100.17,5,第一種住居地域,2,,1590.037671,,58700,,58700
52371323979,9.31,2,第二種低層住居専用地域,2,,939.048822,,90000,,90000
52370297915,16.58,,,,3,3749.965812,,33700,,33700
52371313935,69.67,1,第一種低層住居専用地域,2,,325.9983968,,93000,,93000
52371312994,73.52,8,近隣商業地域,2,,47.48923308,,91300,,91300
52371367924,73.87,,,,3,5510.829674,1,32900,,32900
52370372920,73.55,3,第一種中高層住居専用地域,2,,1468.647213,,90800,,90800
52371312900,60.34,5,第一種住居地域,2,,743.1269507,,127000,,127000
52370298972,83.13,5,第一種住居地域,2,,2983.818907,,64100,,64100
52371209989,113.99,5,第一種住居地域,2,,821.4014637,,119000,,119000
52371304904,148.21,1,第一種低層住居専用地域,2,,1100.198031,,81100,,81100
52371302935,117.42,3,第一種中高層住居専用地域,2,,1377.969131,,104000,,104000
52370383993,102.4,3,第一種中高層住居専用地域,2,,1921.709073,,75500,,75500
52370382940,189.4,3,第一種中高層住居専用地域,2,,1303.061196,,88000,,88000
52371302989,90.22,5,第一種住居地域,2,,873.5578672,,91000,,91000
52370370940,121.58,2,第二種低層住居専用地域,2,,519.2360605,,82700,,82700
52370391902,51.2,3,第一種中高層住居専用地域,2,,372.2856115,,98200,,98200
52370353964,82.33,,,,3,2249.797802,,54000,,54000
52370361923,106.6,1,第一種低層住居専用地域,2,,1014.01818,,73000,,73000
52370289975,65.95,3,第一種中高層住居専用地域,2,,1448.875566,,92700,,92700
52371209992,123.24,4,第二種中高層住居専用地域,2,,1454.941652,,96500,,96500
52370392935,78.72,6,第二種住居地域,2,,1719.468111,,106000,,106000
52370390900,25.98,4,第二種中高層住居専用地域,2,,886.9813187,,105000,,105000
52370279909,84.23,1,第一種低層住居専用地域,2,,631.5203582,,81000,,81000
52371219954,123.87,5,第一種住居地域,2,,1135.337026,,90500,,90500
52371228974,123.33,5,第一種住居地域,2,,1565.855976,,67400,,67400
52370298987,36.39,5,第一種住居地域,2,,2463.460922,,95200,,95200
52371236989,66.81,5,第一種住居地域,2,,3035.25927,,49000,,49000
52371344951,87.01,1,第一種低層住居専用地域,2,,2618.152315,,68000,,68000
52370360996,99.27,4,第二種中高層住居専用地域,2,,244.2268847,,92000,,92000
52371301912,72.2,10,準工業地域,2,,278.4693888,,83300,,83300
52371330945,118.58,10,準工業地域,2,,718.1283084,,66500,,66500
52370330988,47.79,,,,3,1695.944698,,37100,,37100
52371301997,43.41,10,準工業地域,2,,598.6519968,,112000,,112000
52371395938,20.12,,,,3,7308.106852,,18000,,18000
52371320952,58.73,10,準工業地域,2,,508.5535562,,93500,,93500
52371229936,114.72,10,準工業地域,2,,686.4886164,,86700,,86700
52371352950,64.78,,,,3,3153.346744,,30400,,30400
52371303969,51.63,3,第一種中高層住居専用地域,2,,321.882287,,92000,,92000
52371344936,25.65,10,準工業地域,2,3,2508.075719,,67800,,67800
52371354965,8.24,,,,3,3696.083114,,31000,,31000
52371310966,9.35,9,商業地域,2,,0,,553000,,553000
52371310996,21.68,9,商業地域,2,,0,1,230000,,230000
52371311950,118.85,9,商業地域,2,,66.8386508,,290000,,290000
52371320957,67.63,8,近隣商業地域,2,,351.0837552,,109000,,109000
52371311970,59.4,9,商業地域,2,,140.5416282,,141000,,141000
52371313981,63.32,8,近隣商業地域,2,,3.662308287,1,90300,,90300
52371311931,112.67,9,商業地域,2,,0,,148000,,148000
52370392925,18.25,6,第二種住居地域,2,,1744.96789,,102000,,102000
52371310904,91.28,8,近隣商業地域,2,,283.2080967,,141000,,141000
52371311985,76.51,9,商業地域,2,,127.3368172,,111000,,111000
52371320918,70.62,9,商業地域,2,,195.4684254,,130000,,130000
52370289919,67.37,3,第一種中高層住居専用地域,2,,962.3726759,,99000,,99000
52370375905,78.1,8,近隣商業地域,2,,447.0185399,,75900,,75900
52370267935,50.55,,,,3,2530.980652,,48800,,48800
52371330995,43.11,10,準工業地域,2,,985.6239337,,61000,,61000
52370361998,74.54,1,第一種低層住居専用地域,2,,1418.512846,,73500,,73500
52371311957,42.58,8,近隣商業地域,2,,379.1286922,,119000,,119000
52371313951,57.05,8,近隣商業地域,2,,219.3748995,,100000,,100000
52370381946,30.25,3,第一種中高層住居専用地域,2,,848.1943643,,105000,,105000
52371322932,122.82,8,近隣商業地域,2,,370.9687181,1,102000,,102000
52371351931,39.77,10,準工業地域,2,3,2212.393018,,69800,,69800
52371219919,49.78,8,近隣商業地域,2,,647.9894433,1,128000,,128000
52370287906,,11,工業地域,2,,3321.547699,,37700,,37700
52370266908,,12,工業専用地域,2,,2712.263896,,25600,,25600
52370365955,63.66,10,準工業地域,2,,639.9955975,1,41400,,41400
52371316926,38.91,1,第一種低層住居専用地域,2,3,2614.093941,,,60700,60700
52371226912,29.72,,,,3,4083.102344,,,27800,27800
52371312900,60.34,5,第一種住居地域,2,,743.1269507,,,128000,128000
52370313947,6.88,,,,3,5386.321787,,,20600,20600
52371343926,86.4,1,第一種低層住居専用地域,2,,2231.844759,,,68500,68500
52371239964,27.05,,,,3,174.1684052,,,34000,34000
52370390917,60.86,5,第一種住居地域,2,,123.3302082,,,104000,104000
52371303966,80.29,1,第一種低層住居専用地域,2,,314.9702536,,,101000,101000
52370391949,181.38,6,第二種住居地域,2,,1034.749229,,,113000,113000
52370378900,38.2,,,,3,3309.601495,,,36300,36300
52370384991,123.84,1,第一種低層住居専用地域,2,,1901.752621,,,80700,80700
52370376904,109.33,5,第一種住居地域,2,,1477.545317,,,68400,68400
52371314957,21.25,5,第一種住居地域,2,,423.9898665,1,,80400,80400
52370381901,72.36,3,第一種中高層住居専用地域,2,,308.277025,,,99200,99200
52370390987,125.45,4,第二種中高層住居専用地域,2,,281.5937453,,,92500,92500
52370330981,114.56,1,第一種低層住居専用地域,2,3,1102.246496,,,62000,62000
52370362998,20.24,,,,3,2420.546237,,,59800,59800
52370279909,84.23,1,第一種低層住居専用地域,2,,631.5203582,,,81000,81000
52370390900,25.98,4,第二種中高層住居専用地域,2,,886.9813187,,,105000,105000
52371228907,76.44,5,第一種住居地域,2,,1578.853673,,,79300,79300
52371219979,82.78,5,第一種住居地域,2,,580.6372644,,,114000,114000
52370380913,94.6,3,第一種中高層住居専用地域,2,,512.4305517,,,101000,101000
52371312968,109.93,5,第一種住居地域,2,,151.2220309,,,94500,94500
52371300974,67.55,8,近隣商業地域,2,,426.418251,,,88800,88800
52370365933,114.71,10,準工業地域,2,,678.9042747,,,64500,64500
52371320974,76.34,10,準工業地域,2,,546.9202276,,,81000,81000
52370238969,84.85,,,,3,233.2435112,,,58000,58000
52371310953,88.8,9,商業地域,2,,105.2935249,1,,178000,178000
52371321905,48.51,9,商業地域,2,,62.71523248,1,,109000,109000
52371310967,34.3,9,商業地域,2,,57.22427282,,,380000,380000
52371310998,45.82,9,商業地域,2,,200.6911742,,,167000,167000
52371311936,103.37,8,近隣商業地域,2,,470.8096027,,,128000,128000
52370289919,67.37,3,第一種中高層住居専用地域,2,,962.3726759,,,99000,99000
52371310929,13.53,9,商業地域,2,,184.5490135,,,161000,161000
52371310966,9.35,9,商業地域,2,,0,,,560000,560000
52370299936,38.47,9,商業地域,2,,1372.444613,,,129000,129000
52371310950,102.85,8,近隣商業地域,2,,448.641725,,,129000,129000
52371229905,3.43,10,準工業地域,2,,986.5327996,1,,93000,93000
52370374916,7.67,11,工業地域,2,,469.0212036,,,48600,48600
52370256932,,12,工業専用地域,2,,2141.843609,,,23700,23700
52371340980,19.2,10,準工業地域,2,3,1079.828981,,,34400,34400
52371307901,,,,,3,3463.992025,,,903000,903000
52370342963,2.77,,,,3,2570.196826,,,,
52370342964,5.55,,,,3,2667.132136,,,,
52370342973,11.84,,,,3,2521.199565,,,,
52370342982,15.82,,,,3,2375.485656,,,,
52370342975,3.52,,,,3,2719.932137,,,,
52370342976,2.23,,,,3,2821.02238,,,,
52370342969,6.19,,,,3,3169.456585,,,,
52370342962,8.32,,,,3,2474.764553,,,,
52370342971,9.06,,,,3,2328.042637,,,,
52370342972,16.37,,,,3,2423.839937,,,,
52370342981,21.09,,,,3,2277.656522,,,,
52370342990,,,,,3,2131.609508,,,,
52370342983,28.12,,,,3,2474.74734,,,,
52370342984,,,,,3,2575.275935,,,,
52370342977,13.37,,,,3,2923.103403,,,,
52370342970,4.53,,,,3,2234.008652,,,,
52370342979,1.55,,,,3,3129.849117,,,,
52370342980,,,,,3,2181.45267,,,,
52370342989,,,,,3,3092.547113,,,,
52370342998,3.1,,,,3,2951.272462,,,,
52370342991,3.52,,,,3,2229.96372,,,,
52370342992,1.76,,,,3,2329.79536,,,,
52370342985,1.76,,,,3,2676.928719,,,,
52370342978,96.6,,,,3,3026.074945,,,,
52370342987,73.55,,,,3,2883.129962,,,,
52370342988,14.61,,,,3,2987.478571,,,,
52370342997,,,,,3,2845.59757,,,,
52370343906,,,,,3,3205.597981,,,,
52370342999,13.78,,,,3,3057.584356,,,,
52370343900,2.82,,,,3,3544.7729,,,,
52370342993,21.09,,,,3,2430.922419,,,,
52370342986,13.4,,,,3,2779.582361,,,,
52370342995,8.38,,,,3,2636.464712,,,,
52370342996,,,,,3,2740.633361,,,,
52370343905,,,,,3,3264.766373,,,,
52370343914,,,,,3,3250.196508,,,,
52370343907,,,,,3,3149.483535,,,,
52370343908,,,,,3,3096.58907,,,,
52370343901,36.71,,,,3,3528.78943,,,,
52370342994,,,,,3,2533.189765,,,,
52370343903,3.56,,,,3,3391.617457,,,,
52370343904,,,,,3,3326.825764,,,,
52370344941,,,,,3,2615.916,,,,
52370344950,,,,,3,2580.638438,,,,
52370343915,1.46,,,,3,3186.645739,,,,
52370343916,29.29,,,,3,3125.999628,,,,
52370343909,,,,,3,3047.082281,,,,
52370343902,2.82,,,,3,3458.987912,,,,
52370344939,9.36,,,,3,2495.272267,,,,
52370344940,,,,,3,2663.588184,,,,
52370344949,28.09,,,,3,2402.86341,,,,
52370343930,1.55,,,,3,3392.165412,,,,
52370344951,2.34,,,,3,2531.405068,,,,
52370344952,,,,,3,2486.474711,,,,
52370344945,,,,,3,2469.525761,,,,
52370344938,11.7,,,,3,2503.64584,,,,
52370344947,7.02,,,,3,2425.633555,,,,
52370344948,7.02,,,,3,2411.55782,,,,
52370343929,,,,,3,2880.009872,,,,
52370343938,,,,,3,2851.211334,,,,
52370343931,,,,,3,3315.541378,,,,
52370343932,3.67,,,,3,3241.152775,,,,
52370344953,4.68,,,,3,2446.084502,,,,
52370344946,,,,,3,2444.997671,,,,
52370343927,4.8,,,,3,2988.140052,,,,
52370343928,,,,,3,2932.33773,,,,
52370343937,1.6,,,,3,2908.569982,,,,
52370343946,,,,,3,2892.010732,,,,
52370343939,,,,,3,2797.366841,,,,
52370343940,,,,,3,3324.771454,,,,
52370343933,3.67,,,,3,3169.157027,,,,
52370343926,6.73,,,,3,3047.225961,,,,
52370343935,6.39,,,,3,3033.020127,,,,
52370343936,3.2,,,,3,2969.239132,,,,
52370343945,3.2,,,,3,2957.457094,,,,
52370343954,,,,,3,2953.062813,,,,
52370343947,,,,,3,2829.686874,,,,
52370343948,,,,,3,2770.696246,,,,
52370343941,,,,,3,3246.557971,,,,
52370343934,,,,,3,3099.720876,,,,
52370343943,,,,,3,3096.916126,,,,
52370343944,,,,,3,3025.82335,,,,
52370343953,,,,,3,3025.864887,,,,
52370343962,,,,,3,3033.053142,,,,
52370343955,,,,,3,2882.972326,,,,
52370343956,3.2,,,,3,2815.795931,,,,
52370343949,,,,,3,2715.256111,,,,
52370343942,,,,,3,3170.552014,,,,
52370343951,,,,,3,3178.851724,,,,
52370343952,,,,,3,3101.187584,,,,
52370343961,3.1,,,,3,3112.417144,,,,
52370343970,52.38,,,,3,3130.454572,,,,
52370343963,,,,,3,2955.995555,,,,
52370343964,3.2,,,,3,2881.429436,,,,
52370343957,,,,,3,2751.747058,,,,
