"","ID","original","if_jukyo","if_shogyo","if_kogyo"
"1",51377277972,449741726.733868,44974.1726733868,64660.1085808593,31315.5822210592
"2",51377277973,447738276.170528,44773.8276170528,64372.0691945592,31176.0816652674
"3",51377277974,442028452.979155,44202.8452979155,63551.1585127488,30778.5058412146
"4",51377277975,436141253.580208,43614.1253580208,62704.7461615143,30368.5792858817
"5",51377277982,460546271.654118,46054.6271654118,66213.4957944134,32067.9042643536
"6",51377277983,456356943.730078,45635.6943730078,65611.1892207795,31776.2007481845
"7",51377277984,450419073.496544,45041.9073496544,64757.4918402237,31362.7459752271
"8",51377277985,444301794.105868,44430.1794105868,63878.000509737,30936.7989164138
"9",51377277986,438025359.587421,43802.5359587421,62975.6271844716,30499.7698627725
"10",51377277987,431609348.247997,43160.9348247997,62053.1866698321,30053.0220546691
"11",51377277988,425072578.061763,42507.2578061763,61113.3844569499,29597.8657903976
"12",51377277989,418433041.852086,41843.3041852086,60158.8074036664,29135.5539128812
"13",51377277992,468323097.593972,46832.3097593972,67331.5828648243,32609.405792146
"14",51377277993,465076953.70915,46507.695370915,66864.8794135213,32383.3763185973
"15",51377277994,458901206.067569,45890.1206067569,65976.9820063301,31953.3581069207
"16",51377277995,452544357.853957,45254.4357853957,65063.0474717047,31510.7298359221
"17",51377277996,446027763.209773,44602.7763209773,64126.1459297232,31056.9783975949
"18",51377277997,439371995.844029,43937.1995844029,63169.2352964063,30593.5363423071
"19",51377277998,432596765.381246,43259.6765381246,62195.1492569244,30121.7760540974
"20",51377277999,425720855.574693,42572.0855574693,61206.5883824139,29643.0054484535
"21",51377278990,418762080.19912,41876.208019912,60206.113788602,29158.4649011172
"22",51377278991,411737257.564363,41173.7257564363,59196.143471586,28669.3254734623
"23",51377278992,404662198.516636,40466.2198516636,58178.95058276,28176.6880770238
"24",51377287902,476186651.922979,47618.6651922979,68462.1390185474,33156.9462303618
"25",51377287903,473905128.867557,47390.5128867556,68134.1206921967,32998.0834462697
"26",51377287904,467480966.874661,46748.0966874661,67210.5083446871,32550.7681069728
"27",51377287905,460874409.896281,46087.4409896281,66260.6727697896,32090.7525781557
"28",51377287906,454107959.875838,45410.7959875838,65287.8491089606,31619.6036734306
"29",51377287907,447203222.155507,44720.3222155507,64295.1435978192,31138.8257759334
"30",51377287908,440180823.05256,44018.082305256,63285.5217159622,30649.855099153
"31",51377287909,433060351.106653,43306.0351106653,62261.7997399895,30154.0555959712
"32",51377287912,483686828.430749,48368.6828430749,69540.4517445867,33679.1846177296
"33",51377287913,482848215.822166,48284.8215822166,69419.8830290218,33620.7918991211
"34",51377287914,476164339.385328,47616.4339385328,68458.9311082705,33155.3926051013
"35",51377287915,469297232.97988,46929.723297988,67471.6359132321,32677.2349815641
"36",51377287916,462270595.857517,46227.0595857517,66461.4047243453,32187.9692108718
"37",51377287917,455107099.331966,45510.7099331966,65431.4970337148,31689.1738999157
"38",51377287918,447828308.877051,44782.8308877051,64385.0133450206,31182.3506557927
"39",51377287919,440454629.921275,44045.4629921275,63324.8873803178,30668.9203114744
"40",51377287922,484458187.478112,48445.8187478112,69651.3513049178,33732.8944610325
"41",51377287923,489748031.999981,48974.8031999981,70411.880961892,34101.227108893
"42",51377287924,484925351.93983,48492.535193983,69718.516308795,33765.4231908392
"43",51377287925,477787102.503421,47778.7102503421,68692.2384337412,33268.3858383931
"44",51377287926,470490261.470088,47049.0261470088,67643.1595836664,32760.3057298544
"45",51377287927,463058595.474838,46305.8595474838,66574.6967268192,32242.8377394951
"46",51377287928,455514624.635301,45551.4624635301,65490.0876175916,31717.5499464001
"47",51377287929,447879576.358705,44787.9576358705,64392.3841552731,31185.9204180397
"48",51377287932,502447635.417552,50244.7635417552,72237.7238559403,34985.5023525666
"49",51377287933,501005935.234907,50100.5935234907,72030.4482468304,34885.1165579559
"50",51377287934,493768493.710474,49376.8493710474,70989.9093619553,34381.1724459109
"51",51377287935,486347831.74664,48634.783174664,69923.0285728235,33864.4706678688
"52",51377287936,478770170.878171,47877.0170878171,68833.5757926636,33336.837033131
"53",51377287937,471060398.152914,47106.0398152914,67725.1290733226,32800.0044304796
"54",51377287938,463242000.287911,46324.2000287911,66601.0651387823,32255.608243458
"55",51377287939,455337026.007085,45533.7026007085,65464.5539703854,31705.1837279381
"56",51377287942,515438188.251308,51543.8188251308,74105.3970266198,35890.0364466495
"57",51377287943,510230703.267183,51023.0703267183,73356.7083359974,35527.4385054498
"58",51377287944,502697851.644537,50269.7851644537,72273.6978548909,35002.9249450534
"59",51377287945,494982791.840416,49498.2791840416,71164.4910035161,34465.7242023273
"60",51377287946,487113065.93167,48711.306593167,70033.0475516119,33917.7540361115
"61",51377287947,479114702.350267,47911.4702350267,68883.1096496996,33360.8268099314
