fid,ID,NL,NS,NM
1,51377277972,0,0,0
2,51377277973,0,0,0
3,51377277982,0,0,0
4,51377277983,0,0,0
5,51377277974,0,0,0
6,51377277984,0,0,0
7,51377277975,0,0,0
8,51377277985,0,0,0
9,51377277986,0,0,0
10,51377277992,0,0,0
11,51377277993,0,0,0
12,51377277994,0,0,0
13,51377277995,0,0,0
14,51377277996,0,0,0
15,51377277987,0,0,0
16,51377277997,0,0,0
17,51377277988,0,0,0
18,51377277998,0,0,0
19,51377277989,0,0,0
20,51377277999,0,0,0
21,51377278990,0,0,0
22,51377287902,0,0,0
23,51377287903,0,0,0
24,51377287904,0,0,0
25,51377287905,0,0,0
26,51377287906,0,0,0
27,51377287907,0,0,0
28,51377287908,0,0,0
29,51377287909,0,0,0
30,51377288900,0,0,0
31,51377278991,0,0,0
32,51377288901,0,0,0
33,51377278992,0,0,0
34,51377288902,0,0,0
35,51377288903,0,0,0
36,51377287912,0,0,0
37,51377287913,0,0,0
38,51377287914,0,0,0
39,51377287915,0,0,0
40,51377287916,0,0,0
41,51377287917,0,0,0
42,51377287918,0,0,0
43,51377287919,0,0,0
44,51377288910,0,0,0
45,51377287922,0,0,0
46,51377287923,0,0,0
47,51377287924,0,0,0
48,51377287925,0,0,0
49,51377287926,0,0,0
50,51377287927,0,0,0
51,51377287928,0,0,0
52,51377287929,0,0,0
53,51377288920,0,0,0
54,51377287932,0,0,0
55,51377287933,0,0,0
56,51377287934,0,0,0
57,51377287935,0,0,0
58,51377287936,0,0,0
59,51377287937,0,0,0
60,51377287938,0,0,0
61,51377287939,0,0,0
62,51377288930,0,0,0
63,51377287942,0,0,0
64,51377287943,0,0,0
65,51377287944,0,0,0
66,51377287945,0,0,0
67,51377287946,0,0,0
68,51377287947,0,0,0
69,51377287948,0,0,0
70,51377287949,0,0,0
71,51377288940,0,0,0
72,51377287952,0,0,0
73,51377287953,0,0,0
74,51377287954,0,0,0
75,51377287955,0,0,0
76,51377287956,0,0,0
77,51377287957,0,0,0
78,51377287958,0,0,0
79,51377287959,0,0,0
80,51377288950,0,0,0
81,51377287961,0,0,0
82,51377287962,0,0,0
83,51377287963,0,0,0
84,51377287964,0,0,0
85,51377287965,0,0,0
86,51377287966,0,0,0
87,51377287967,0,0,0
88,51377287968,0,0,0
89,51377287969,0,0,0
90,51377288960,0,0,0
91,51377287971,0,0,0
92,51377287972,0,0,0
93,51377287973,0,0,0
94,51377287974,0,0,0
95,51377287975,0,0,0
96,51377287976,0,0,0
97,51377287977,0,0,0
98,51377287978,0,0,0
99,51377287979,0,0,0
100,51377288970,0,0,0
101,51377287981,0,0,0
102,51377287982,0,0,0
103,51377287983,0,0,0
104,51377287984,0,0,0
105,51377287985,0,0,0
106,51377287986,0,0,0
107,51377287987,0,0,0
108,51377287988,0,0,0
109,51377287989,0,0,0
110,51377288980,0,0,0
111,51377287991,0,0,0
112,51377287992,0,0,0
113,51377287993,0,0,0
114,51377287994,0,0,0
115,51377287995,0,0,0
116,51377287996,0,0,0
117,51377287997,0,0,0
118,51377287998,0,0,0
119,51377287999,0,0,0
120,51377288990,0,0,0
121,51377297901,0,0,0
122,51377297902,0,0,0
123,51377297903,0,0,0
124,51377297904,0,0,0
125,51377297905,0,0,0
126,51377297906,0,0,0
127,51377297907,0,0,0
128,51377297908,0,0,0
129,51377297909,0,0,0
130,51377298900,0,0,0
131,51377288911,0,0,0
132,51377288912,0,0,0
133,51377288913,0,0,0
134,51377288904,0,0,0
135,51377288914,0,0,0
136,51377288905,0,0,0
137,51377288915,0,0,0
138,51377288916,0,0,0
139,51377288921,0,0,0
140,51377288922,0,0,0
141,51377288923,0,0,0
142,51377288924,0,0,0
143,51377288925,0,0,0
144,51377288926,0,0,0
145,51377288917,0,0,0
146,51377288927,0,0,0
147,51377288918,0,0,0
148,51377288928,0,0,0
149,51377288929,0,0,0
150,51377288931,0,0,0
151,51377288932,0,0,0
152,51377288933,0,0,0
153,51377288934,0,0,0
154,51377288935,0,0,0
155,51377288936,0,0,0
156,51377288937,0,0,0
157,51377288938,0,0,0
158,51377288939,0,0,0
159,51377289920,0,0,0
160,51377289930,0,0,0
161,51377288941,0,0,0
162,51377288942,0,0,0
163,51377288943,0,0,0
164,51377288944,0,0,0
165,51377288945,0,0,0
166,51377288946,0,0,0
167,51377288947,0,0,0
168,51377288948,0,0,0
169,51377288949,0,0,0
170,51377289940,0,0,0
171,51377288951,0,0,0
172,51377288952,0,0,0
173,51377288953,0,0,0
174,51377288954,0,0,0
175,51377288955,0,0,0
176,51377288956,0,0,0
177,51377288957,0,0,0
178,51377288958,0,0,0
179,51377288959,0,0,0
180,51377289950,0,0,0
181,51377288961,0,0,0
182,51377288962,0,0,0
183,51377288963,0,0,0
184,51377288964,0,0,0
185,51377288965,0,0,0
186,51377288966,0,0,0
187,51377288967,0,0,0
188,51377288968,0,0,0
189,51377288969,0,0,0
190,51377289960,0,0,0
191,51377288971,0,0,0
192,51377288972,0,0,0
193,51377288973,0,0,0
194,51377288974,0,0,0
195,51377288975,0,0,0
196,51377288976,0,0,0
197,51377288977,0,0,0
198,51377288978,0,0,0
199,51377288979,0,0,0
200,51377289970,0,0,0
201,51377288981,0,0,0
202,51377288982,0,0,0
203,51377288983,0,0,0
204,51377288984,0,0,0
205,51377288985,0,0,0
206,51377288986,0,0,0
207,51377288987,0,0,0
208,51377288988,0,0,0
209,51377288989,0,0,0
210,51377289980,0,0,0
211,51377288991,0,0,0
212,51377288992,0,0,0
213,51377288993,0,0,0
214,51377288994,0,0,0
215,51377288995,0,0,0
216,51377288996,0,0,0
217,51377288997,0,0,0
218,51377288998,0,0,0
219,51377288999,0,0,0
220,51377289990,0,0,0
221,51377298901,0,0,0
222,51377298902,0,0,0
223,51377298903,0,0,0
224,51377298904,0,0,0
225,51377298905,0,0,0
226,51377298906,0,0,0
227,51377298907,0,0,0
228,51377298908,0,0,0
229,51377298909,0,0,0
230,51377299900,0,0,0
231,51377289931,0,0,0
232,51377289941,0,0,0
233,51377289932,0,0,0
234,51377289942,0,0,0
235,51377289933,0,0,0
236,51377289943,0,0,0
237,51377289934,0,0,0
238,51377289944,0,0,0
239,51377289945,0,0,0
240,51377289951,0,0,0
241,51377289952,0,0,0
242,51377289953,0,0,0
243,51377289954,0,0,0
244,51377289955,0,0,0
245,51377289946,0,0,0
246,51377289956,0,0,0
247,51377289947,0,0,0
248,51377289957,0,0,0
249,51377289948,0,0,0
250,51377289958,0,0,0
251,51377289959,0,0,0
252,51377289961,0,0,0
253,51377289962,0,0,0
254,51377289963,0,0,0
255,51377289964,0,0,0
256,51377289965,0,0,0
257,51377289966,0,0,0
258,51377289967,0,0,0
259,51377289968,0,0,0
260,51377289969,0,0,0
261,51377380950,0,0,0
262,51377380960,0,0,0
263,51377289971,0,0,0
264,51377289972,0,0,0
265,51377289973,0,0,0
266,51377289974,0,0,0
267,51377289975,0,0,0
268,51377289976,0,0,0
269,51377289977,0,0,0
270,51377289978,0,0,0
271,51377289979,0,0,0
272,51377380970,0,0,0
273,51377289981,0,0,0
274,51377289982,0,0,0
275,51377289983,0,0,0
276,51377289984,0,0,0
277,51377289985,0,0,0
278,51377289986,0,0,0
279,51377289987,0,0,0
280,51377289988,0,0,0
281,51377289989,0,0,0
282,51377380980,0,0,0
283,51377289991,0,0,0
284,51377289992,0,0,0
285,51377289993,0,0,0
286,51377289994,0,0,0
287,51377289995,0,0,0
288,51377289996,0,0,0
289,51377289997,0,0,0
290,51377289998,0,0,0
291,51377289999,0,0,0
292,51377380990,0,0,0
293,51377299901,0,0,0
294,51377299902,0,0,0
295,51377299903,0,0,0
296,51377299904,0,0,0
297,51377299905,0,0,0
298,51377299906,0,0,0
299,51377299907,0,0,0
300,51377299908,0,0,0
301,51377299909,0,0,0
302,51377390900,0,0,0
303,51377294959,0,0,0
304,51377294968,0,0,0
305,51377294969,0,0,0
306,51377295950,0,0,0
307,51377295960,0,0,0
308,51377294966,0,0,0
309,51377294967,0,0,0
310,51377294975,0,0,0
311,51377294976,0,0,0
312,51377294977,0,0,0
313,51377294978,0,0,0
314,51377294979,0,0,0
315,51377295970,0,0,0
316,51377294974,0,0,0
317,51377294984,0,0,0
318,51377294985,0,0,0
319,51377294986,0,0,0
320,51377294987,0,0,0
321,51377294988,0,0,0
322,51377294989,0,0,0
323,51377295980,0,0,0
324,51377294994,0,0,0
325,51377294995,0,0,0
326,51377294996,0,0,0
327,51377294997,0,0,0
328,51377294998,0,0,0
329,51377294999,0,0,0
330,51377295990,0,0,0
331,52370204905,0,0,0
332,52370204906,0,0,0
333,52370204907,0,0,0
334,52370204908,0,0,0
335,52370204909,0,0,0
336,52370205900,0,0,0
337,51377295928,0,0,0
338,51377295929,0,0,0
339,51377295937,0,0,0
340,51377295938,0,0,0
341,51377295939,0,0,0
342,51377296920,0,0,0
343,51377296930,0,0,0
344,51377295935,0,0,0
345,51377295936,0,0,0
346,51377295944,0,0,0
347,51377295945,0,0,0
348,51377295946,0,0,0
349,51377295947,0,0,0
350,51377295948,0,0,0
351,51377295949,0,0,0
352,51377296940,0,0,0
353,51377295941,0,0,0
354,51377295942,0,0,0
355,51377295951,0,0,0
356,51377295952,0,0,0
357,51377295943,0,0,0
358,51377295953,0,0,0
359,51377295954,0,0,0
360,51377295955,0,0,0
361,51377295956,0,0,0
362,51377295957,0,0,0
363,51377295958,0,0,0
364,51377295959,0,0,0
365,51377296950,0,0,0
366,51377295961,0,0,0
367,51377295962,0,0,0
368,51377295963,0,0,0
369,51377295964,0,0,0
370,51377295965,0,0,0
371,51377295966,0,0,0
372,51377295967,0,0,0
373,51377295968,0,0,0
374,51377295969,0,0,0
375,51377296960,0,0,0
376,51377295971,0,0,0
377,51377295972,0,0,0
378,51377295973,0,0,0
379,51377295974,0,0,0
380,51377295975,0,0,0
381,51377295976,0,0,0
382,51377295977,0,0,0
383,51377295978,0,0,0
384,51377295979,0,0,0
385,51377296970,0,0,0
386,51377295981,0,0,0
387,51377295982,0,0,0
388,51377295983,0,0,0
389,51377295984,0,0,0
390,51377295985,0,0,0
391,51377295986,0,0,0
392,51377295987,0,0,0
393,51377295988,0,0,0
394,51377295989,0,0,0
395,51377296980,0,0,0
396,51377295991,0,0,0
397,51377295992,0,0,0
398,51377295993,0,0,0
399,51377295994,0,0,0
400,51377295995,0,0,0
401,51377295996,0,0,0
402,51377295997,0,0,0
403,51377295998,0,0,0
404,51377295999,0,0,0
405,51377296990,0,0,0
