fid,ID,LIVE,MAKE,SHOP,y2,p_land,mh01,mh02,mh03,mh04,mh06,mh07,ALAND
1,51377277972,,,,38876,38876,,,,,,,
2,51377277973,,,,38749,38749,,,,,,,
3,51377277982,,,,39556,39556,,,,,,,
4,51377277983,,,,39293,39293,,,,,,,0
5,51377277974,,,,38387,38387,,,,,,,
6,51377277984,,,,38919,38919,,,,,,,0
7,51377277975,,,,38013,38013,,,,,,,
8,51377277985,,,,38532,38532,,,,,,,
9,51377277986,,,,38133,38133,,,,,,,
10,51377277992,,,,40044,40044,,,,,,,
11,51377277993,,,,39841,39841,,,,,,,0
12,51377277994,,,,39453,39453,,,,,,,0
13,51377277995,,,,39053,39053,,,,,,,0
14,51377277996,,,,38641,38641,,,,,,,0
15,51377277987,,,,37724,37724,,,,,,,
16,51377277997,,,,38219,38219,,,,,,,0
17,51377277988,,,,37305,37305,,,,,,,
18,51377277998,,,,37787,37787,,,,,,,0
19,51377277989,,,,36879,36879,,,,,,,
20,51377277999,,,,37347,37347,,,,,,,
21,51377278990,,,,36900,36900,,,,,,,
22,51377287902,,,,40534,40534,,,,,,,
23,51377287903,,,,40392,40392,,,,,,,1
24,51377287904,,,,39991,39991,,,,,,,0
25,51377287905,,,,39577,39577,,,,,,,0
26,51377287906,,,,39151,39151,,,,,,,0
27,51377287907,,,,38715,38715,,,,,,,0
28,51377287908,,,,38270,38270,,,,,,,0
29,51377287909,,,,37817,37817,,,,,,,0
30,51377288900,,,,37356,37356,,,,,,,0
31,51377278991,,,,36446,36446,,,,,,,
32,51377288901,,,,36889,36889,,,,,,,0
33,51377278992,,,,35987,35987,,,,,,,
34,51377288902,,,,36417,36417,,,,,,,
35,51377288903,,,,35941,35941,,,,,,,
36,51377287912,,,,36586,41000,,,,,,,
37,51377287913,,,,36540,40948,,,,,,,1
38,51377287914,,,,40533,40533,,,,,,,0
39,51377287915,,,,40104,40104,,,,,,,0
40,51377287916,,,,39665,39665,,,,,,,1
